,Incident.year,Victim.injury,State,Latitude,Longitude,Shark.common.name,Shark.scientific.name,Provoked/unprovoked,Site.category,Incident.month
436,1951,injured,NSW,-34.53333333,150.8666667,bull shark,Carcharhinus leucas,provoked,estuary/harbour,2
437,1951,injured,NSW,-33.88333333,151.2666667,wobbegong,Orectolobidae,unprovoked,coastal,2
438,1951,injured,NSW,-33.63333333,151.3166667,wobbegong,Orectolobidae,provoked,coastal,3
439,1951,fatal,QLD,-23.38333333,150.55,bull shark,Carcharhinus leucas,unprovoked,river,9
440,1951,fatal,QLD,-19.23333333,146.8,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,10
441,1951,fatal,NSW,-32.93333333,151.75,white shark,Carcharodon carcharias ,unprovoked,coastal,12
442,1951,uninjured,NSW,-33.36666667,151.4333333,white shark,Carcharodon carcharias ,unprovoked,coastal,12
443,1952,injured,NSW,-29.1,153.4333333,wobbegong,Orectolobidae,unprovoked,coastal,1
444,1952,uninjured,QLD,-19.25,146.8166667,bull shark,Carcharhinus leucas,provoked,estuary/harbour,2
445,1952,injured,WA,-35.06666667,117.05,wobbegong,Orectolobidae,provoked,coastal,5
446,1952,injured,VIC,-38.38333333,145.15,white shark,Carcharodon carcharias ,unprovoked,coastal,11
447,1952,injured,SA,-38.01666667,140.5666667,white shark,Carcharodon carcharias ,provoked,coastal,12
448,1953,injured,NSW,-33.86666667,151.2,wobbegong,Orectolobidae,provoked,coastal,2
449,1953,injured,NSW,-34.56666667,150.8666667,wobbegong,Orectolobidae,provoked,coastal,2
450,1953,injured,NSW,-33.71666667,151.3,wobbegong,Orectolobidae,provoked,coastal,2
451,1953,injured,NSW,-33.73333333,151.3,tiger shark,Galeocerdo cuvier ,provoked,coastal,3
452,1953,uninjured,NSW,-33.93333333,151.25,white shark,Carcharodon carcharias ,unprovoked,coastal,12
453,1953,injured,NSW,-33.93333333,151.25,white shark,Carcharodon carcharias ,unprovoked,coastal,12
454,1953,injured,QLD,-28.11666667,153.4666667,white shark,Carcharodon carcharias ,unprovoked,coastal,12
455,1954,injured,SA,-38.05,140.7,wobbegong,Orectolobidae,provoked,coastal,1
456,1954,injured,QLD,-10.23333333,142.4833333,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,1
457,1954,injured,NSW,-33.45,151.4333333,whaler shark,Carcharhinidae,unprovoked,coastal,1
458,1954,fatal,NSW,-33.33333333,151.5,white shark,Carcharodon carcharias ,unprovoked,coastal,2
459,1954,injured,QLD,-16.91666667,145.99445,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,6
460,1954,fatal,QLD,-9.583333333,143.7666667,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,9
461,1955,fatal,NSW,-33.81666667,151.25,bull shark,Carcharhinus leucas,provoked,estuary/harbour,1
462,1955,fatal,NSW,-33.78333333,151.2166667,bull shark,Carcharhinus leucas,unprovoked,estuary/harbour,2
463,1955,fatal,NSW,-33.41666667,151.45,white shark,Carcharodon carcharias ,unprovoked,coastal,3
464,1955,injured,QLD,-17.93333333,145.9333333,wobbegong,Orectolobidae,provoked,island open ocean,10
465,1956,injured,QLD,-17.71666667,146.4,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,1
466,1956,fatal,QLD,-21.11666667,149.15,bull shark,Carcharhinus leucas,unprovoked,river,2
467,1956,injured,VIC,-38.43333333,145.2333333,wobbegong,Orectolobidae,unprovoked,coastal,2
468,1956,uninjured,VIC,-37.96666667,145,bronze whaler shark,Carcharhinus brachyurus,provoked,coastal,2
469,1956,uninjured,WA,-32.13333333,115.7333333,whaler shark,Carcharhinidae,unprovoked,coastal,3
470,1956,fatal,VIC,-38.33333333,144.7,white shark,Carcharodon carcharias ,unprovoked,coastal,3
471,1956,injured,QLD,-10.58333333,142.2166667,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,5
472,1956,injured,QLD,-28,153.4166667,wobbegong,Orectolobidae,provoked,coastal,8
473,1957,uninjured,NSW,-28.63333333,153.6166667,white shark,Carcharodon carcharias ,unprovoked,coastal,1
474,1957,fatal,WA,-16.38333333,122.9166667,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,2
475,1957,injured,NSW,-32.93333333,151.75,wobbegong,Orectolobidae,unprovoked,coastal,4
476,1957,injured,QLD,-10.56666667,142.2166667,tiger shark,Galeocerdo cuvier ,provoked,estuary/harbour,4
477,1957,injured,NSW,-32.68333333,152.1833333,white shark,Carcharodon carcharias ,provoked,coastal,5
478,1957,injured,QLD,-10.58333333,142.2166667,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,7
479,1958,injured,NSW,-28.53333333,153.55,wobbegong,Orectolobidae,unprovoked,coastal,1
480,1958,injured,NSW,-35.2,150.55,white shark,Carcharodon carcharias ,provoked,coastal,1
481,1958,uninjured,NSW,-33.05,151.6333333,bull shark,Carcharhinus leucas,provoked,estuary/harbour,2
482,1958,fatal,QLD,-9.75,143.4,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,3
483,1958,uninjured,VIC,-38.21666667,145.0166667,bronze whaler shark,Carcharhinus brachyurus,provoked,coastal,3
484,1958,injured,NSW,-32.71666667,152.1666667,wobbegong,Orectolobidae,provoked,coastal,9
485,1958,fatal,QLD,-28,153.4166667,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,11
486,1959,injured,WA,-31.95,115.85,bull shark,Carcharhinus leucas,provoked,river,1
487,1959,injured,QLD,-26.66666667,153.1166667,wobbegong,Orectolobidae,unprovoked,coastal,1
488,1959,fatal,TAS,-43.15,147.85,white shark,Carcharodon carcharias ,unprovoked,coastal,1
489,1959,injured,TAS,-39.85,143.8333333,white shark,Carcharodon carcharias ,unprovoked,island open ocean,1
490,1959,uninjured,NSW,-34.3,150.9166667,whaler shark,Carcharhinidae,provoked,coastal,4
491,1959,injured,QLD,-10.58333333,142.2166667,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,4
492,1959,injured,QLD,-28.01666667,153.4333333,tiger shark,Galeocerdo cuvier ,provoked,coastal,11
493,1959,injured,VIC,-38.45,144.0833333,white shark,Carcharodon carcharias ,unprovoked,coastal,11
494,1959,fatal,QLD,-27.43333333,153.1666667,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,12
495,1959,uninjured,QLD,-27.23333333,153.1,tiger shark,Galeocerdo cuvier ,provoked,coastal,12
496,1960,injured,VIC,-37.98333333,145.0166667,bronze whaler shark,Carcharhinus brachyurus,provoked,coastal,1
497,1960,fatal,NSW,-33.76666667,151.2,bull shark,Carcharhinus leucas,unprovoked,river,1
498,1960,injured,VIC,-38.16666667,145.0666667,bronze whaler shark,Carcharhinus brachyurus,provoked,island open ocean,4
499,1960,injured,NSW,-30.86666667,153.0333333,white shark,Carcharodon carcharias ,unprovoked,coastal,4
500,1960,uninjured,NSW,-32.6,152.3166667,bronze whaler shark,Carcharhinus brachyurus,provoked,coastal,4
501,1960,injured,QLD,-21.13333333,149.2,whaler shark,Carcharhinidae,unprovoked,coastal,11
502,1960,injured,WA,-34.21666667,115.0166667,wobbegong,Orectolobidae,provoked,coastal,11
503,1960,injured,NSW,-33.78333333,151.2833333,whaler shark,Carcharhinidae,unprovoked,coastal,12
504,1960,injured,QLD,-27.36666667,153.15,bull shark,Carcharhinus leucas,unprovoked,river,12
505,1961,injured,NSW,-30.63333333,153.1833333,dogfish,Squalidae,provoked,ocean/pelagic,1
506,1961,injured,VIC,-38.26666667,145.0166667,wobbegong,Orectolobidae,unprovoked,coastal,2
507,1961,uninjured,WA,-32.11666667,115.65,wobbegong,Orectolobidae,provoked,island open ocean,2
508,1961,injured,SA,-34.96666667,138.5,bronze whaler shark,Carcharhinus brachyurus,provoked,coastal,3
509,1961,injured,VIC,-38.38333333,142.4833333,white shark,Carcharodon carcharias ,unprovoked,coastal,3
510,1961,injured,SA,-35.28333333,138.4333333,white shark,Carcharodon carcharias ,provoked,coastal,3
511,1961,uninjured,VIC,-38.46666667,145.0166667,dusky shark,Carcharhinus obscurus,provoked,coastal,4
512,1961,fatal,QLD,-26.36666667,153.0833333,bull shark,Carcharhinus leucas,unprovoked,coastal,12
513,1961,injured,QLD,-21.06666667,149.2166667,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,12
514,1961,fatal,QLD,-21.06666667,149.2166667,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,12
515,1961,injured,QLD,-10.38333333,142.2833333,tiger shark,Galeocerdo cuvier ,unprovoked,island open ocean,12
516,1962,injured,NSW,-28.78333333,153.5833333,white shark,Carcharodon carcharias ,unprovoked,coastal,1
517,1962,uninjured,NSW,-33.73333333,151.3,white shark,Carcharodon carcharias ,unprovoked,coastal,1
518,1962,injured,QLD,-28.15,153.5333333,wobbegong,Orectolobidae,provoked,coastal,2
519,1962,uninjured,NSW,-33.73333333,151.3166667,whaler shark,Carcharhinidae,provoked,coastal,11
520,1962,fatal,SA,-35.4,138.3166667,white shark,Carcharodon carcharias ,provoked,coastal,12
521,1963,fatal,NSW,-33.78333333,151.2333333,bull shark,Carcharhinus leucas,unprovoked,estuary/harbour,1
522,1963,injured,NSW,-34.3,150.9333333,bronze whaler shark,Carcharhinus brachyurus,provoked,coastal,2
523,1963,injured,WA,-33.63333333,115,white shark,Carcharodon carcharias ,unprovoked,coastal,4
524,1963,injured,SA,-35.28333333,138.4333333,white shark,Carcharodon carcharias ,provoked,coastal,12
525,1964,uninjured,WA,-31.95,115.85,whaler shark,Carcharhinidae,provoked,coastal,1
526,1964,injured,WA,-34.21666667,115.0166667,wobbegong,Orectolobidae,provoked,coastal,1
527,1964,injured,SA,-35.53333333,138.6166667,white shark,Carcharodon carcharias ,unprovoked,coastal,3
528,1964,injured,WA,-32.51666667,115.6833333,unknown,unknown,provoked,coastal,10
529,1964,injured,VIC,-38.41666667,142,white shark,Carcharodon carcharias ,provoked,island open ocean,11
530,1965,injured,VIC,-37.83333333,144.9333333,wobbegong,Orectolobidae,provoked,coastal,1
531,1965,injured,QLD,-16.91666667,145.7666667,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,11
532,1965,injured,WA,-31.98333333,115.5333333,wobbegong,Orectolobidae,provoked,island open ocean,12
533,1966,injured,NSW,-34.28333333,150.9333333,white shark,Carcharodon carcharias ,unprovoked,coastal,2
534,1966,fatal,NSW,-35.03333333,150.7166667,white shark,Carcharodon carcharias ,unprovoked,coastal,5
535,1966,uninjured,WA,-31.98333333,115.5333333,shortfin mako shark,Isurus oxyrinchus,provoked,island open ocean,9
536,1966,injured,NSW,-33.91666667,151.25,wobbegong,Orectolobidae,provoked,coastal,12
537,1966,injured,QLD,-23.43333333,151.9,bronze whaler shark,Carcharhinus brachyurus,provoked,island open ocean,12
538,1966,injured,TAS,-41.86666667,148.3,white shark,Carcharodon carcharias ,provoked,coastal,12
539,1966,injured,NSW,-30.88333333,153.05,wobbegong,Orectolobidae,provoked,coastal,12
540,1967,injured,NSW,-34.41666667,150.8833333,bronze whaler shark,Carcharhinus brachyurus,provoked,coastal,4
541,1967,fatal,WA,-30.25,115.0166667,white shark,Carcharodon carcharias ,provoked,coastal,8
542,1968,injured,WA,-31.95,115.85,bull shark,Carcharhinus leucas,unprovoked,river,2
543,1968,uninjured,SA,-35.6,138.0833333,bronze whaler shark,Carcharhinus brachyurus,provoked,coastal,2
544,1968,uninjured,SA,-35,136.1666667,white shark,Carcharodon carcharias ,provoked,island open ocean,9
545,1969,injured,NSW,-35,150.8166667,bronze whaler shark,Carcharhinus brachyurus,provoked,coastal,1
546,1969,injured,NSW,-34.66666667,150.85,wobbegong,Orectolobidae,provoked,coastal,6
547,1969,injured,WA,-31.95,115.85,bull shark,Carcharhinus leucas,unprovoked,river,11
548,1971,injured,TAS,-41.15,148.35,school shark,Galeorhinus galeus ,unprovoked,coastal,1
549,1971,injured,WA,-33.85,121.8833333,whaler shark,Carcharhinidae,provoked,coastal,2
550,1971,fatal,QLD,-23.48333333,151.2,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,12
551,1972,injured,VIC,-38.81666667,148.0833333,white shark,Carcharodon carcharias ,unprovoked,coastal,2
552,1972,injured,QLD,-27.46666667,153.2333333,unknown,unknown,unprovoked,island open ocean,4
553,1972,injured,TAS,-43.23333333,148,white shark,Carcharodon carcharias ,provoked,coastal,8
554,1972,injured,NSW,-35.35,150.4666667,white shark,Carcharodon carcharias ,unprovoked,coastal,10
555,1972,injured,QLD,-17.1,146.4,whaler shark,Carcharhinidae,provoked,ocean/pelagic,10
556,1972,uninjured,SA,-35,136.1666667,white shark,Carcharodon carcharias ,provoked,coastal,11
557,1973,injured,NSW,-33.51666667,151.3166667,white shark,Carcharodon carcharias ,unprovoked,coastal,1
558,1973,injured,QLD,-18.51666667,146.35,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,3
559,1973,injured,QLD,-27.41666667,153.5333333,white shark,Carcharodon carcharias ,unprovoked,island open ocean,8
560,1973,injured,QLD,-17.68333333,139.3666667,bull shark,Carcharhinus leucas,unprovoked,river,11
561,1974,fatal,SA,-32.76666667,134.2,white shark,Carcharodon carcharias ,provoked,coastal,1
562,1974,fatal,QLD,-27.73333333,153.6833333,tiger shark,Galeocerdo cuvier ,unprovoked,ocean/pelagic,9
563,1974,injured,WA,-33.63333333,115.35,wobbegong,Orectolobidae,unprovoked,coastal,12
564,1975,fatal,SA,-34.68333333,135.35,white shark,Carcharodon carcharias ,unprovoked,coastal,1
565,1975,injured,VIC,-38.93333333,146.2333333,white shark,Carcharodon carcharias ,unprovoked,coastal,2
566,1975,fatal,SA,-32.08333333,132.9666667,white shark,Carcharodon carcharias ,provoked,coastal,2
567,1975,injured,VIC,-38.4,144.1833333,wobbegong,Orectolobidae,provoked,coastal,2
568,1975,injured,QLD,-16.55,139.4,tiger shark,Galeocerdo cuvier ,unprovoked,island open ocean,3
569,1975,injured,QLD,-26.65,153.0833333,white shark,Carcharodon carcharias ,unprovoked,coastal,7
570,1975,fatal,TAS,-43.35,147.35,white shark,Carcharodon carcharias ,provoked,coastal,7
571,1975,injured,NSW,-33.78333333,151.2833333,wobbegong,Orectolobidae,provoked,coastal,11
572,1976,injured,SA,-32.98333333,137.7833333,white shark,Carcharodon carcharias ,provoked,coastal,9
573,1977,injured,NSW,-28.23333333,153.5666667,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,2
574,1977,fatal,QLD,-27.25,153.25,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,3
575,1977,fatal,QLD,-27.25,153.25,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,3
576,1977,injured,QLD,-28.08333333,153.45,bull shark,Carcharhinus leucas,unprovoked,estuary/harbour,4
577,1977,fatal,QLD,-26.68333333,153.1333333,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,8
578,1977,injured,SA,-32.08333333,132.9666667,white shark,Carcharodon carcharias ,unprovoked,coastal,8
579,1978,uninjured,WA,-31.76666667,115.7166667,white shark,Carcharodon carcharias ,unprovoked,coastal,8
580,1978,uninjured,TAS,-43.16666667,147.9833333,white shark,Carcharodon carcharias ,provoked,coastal,9
581,1978,injured,QLD,-26.8,153.1166667,bull shark,Carcharhinus leucas,unprovoked,coastal,12
582,1979,uninjured,QLD,-26.66666667,153.1166667,bronze whaler shark,Carcharhinus brachyurus,provoked,coastal,1
583,1979,injured,NSW,-28.63333333,153.6166667,whaler shark,Carcharhinidae,unprovoked,coastal,9
584,1980,injured,NSW,-32.43333333,152.5166667,wobbegong,Orectolobidae,provoked,coastal,1
585,1980,injured,VIC,-38.41666667,145.05,bronze whaler shark,Carcharhinus brachyurus,provoked,coastal,3
586,1980,injured,QLD,-27.41666667,153.5333333,whaler shark,Carcharhinidae,unprovoked,coastal,3
587,1980,uninjured,SA,-32.08333333,132.9666667,white shark,Carcharodon carcharias ,unprovoked,coastal,9
588,1980,injured,QLD,-16.91666667,145.7666667,grey reef shark,Carcharhinus amblyrhynchos,provoked,coastal,10
589,1980,injured,WA,-31,115.3,white shark,Carcharodon carcharias ,unprovoked,coastal,11
590,1981,uninjured,NSW,-28.63333333,153.6166667,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,1
591,1981,injured,WA,-32,115.5166667,wobbegong,Orectolobidae,unprovoked,island open ocean,2
592,1981,injured,WA,-32.01666667,115.7333333,wobbegong,Orectolobidae,unprovoked,coastal,2
593,1981,injured,QLD,-16.75,145.9666667,tiger shark,Galeocerdo cuvier ,unprovoked,island open ocean,12
594,1982,uninjured,TAS,-43.51666667,146.9,white shark,Carcharodon carcharias ,provoked,coastal,2
595,1982,fatal,TAS,-43.56666667,146.8833333,white shark,Carcharodon carcharias ,provoked,coastal,2
596,1982,fatal,NSW,-28.63333333,153.6166667,white shark,Carcharodon carcharias ,unprovoked,coastal,3
597,1983,uninjured,QLD,-18.9,147.7333333,tiger shark,Galeocerdo cuvier ,unprovoked,island open ocean,7
598,1983,fatal,QLD,-18.68333333,147.1,tiger shark,Galeocerdo cuvier ,unprovoked,island open ocean,7
599,1983,fatal,QLD,-18.68333333,147.1,tiger shark,Galeocerdo cuvier ,unprovoked,island open ocean,7
600,1983,injured,QLD,-28.16666667,153.5333333,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,11
601,1983,injured,SA,-35.31666667,136.1,white shark,Carcharodon carcharias ,provoked,island open ocean,12
602,1984,injured,QLD,-21.13333333,149.1833333,tiger shark,Galeocerdo cuvier ,unprovoked,island open ocean,2
603,1984,injured,WA,-23.13333333,113.7666667,whaler shark,Carcharhinidae,unprovoked,coastal,3
604,1984,injured,WA,-31.83333333,115.75,wobbegong,Orectolobidae,unprovoked,Coastal,3
605,1984,uninjured,TAS,-43.23333333,147.7833333,white shark,Carcharodon carcharias ,provoked,coastal,6
606,1984,injured,NT,-14.11666667,129.5333333,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,9
607,1984,uninjured,NSW,-28.68333333,153.6166667,white shark,Carcharodon carcharias ,unprovoked,coastal,10
608,1984,uninjured,TAS,-43.13333333,148,white shark,Carcharodon carcharias ,provoked,coastal,10
609,1984,fatal,QLD,-21.05,149.1833333,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,11
610,1985,uninjured,VIC,-38.33333333,144.3,white shark,Carcharodon carcharias ,unprovoked,coastal,2
611,1985,injured,WA,-31.85,115.75,wobbegong,Orectolobidae,provoked,island open ocean,3
612,1985,fatal,SA,-34.46666667,136.0166667,white shark,Carcharodon carcharias ,unprovoked,coastal,3
613,1985,injured,QLD,-13.91666667,146.6166667,whitetip reef shark,Triaenodon obesus  ,provoked,coastal,9
614,1985,injured,NSW,-29.91666667,153.3833333,wobbegong,Orectolobidae,provoked,island open ocean,12
615,1986,fatal,QLD,-10.66666667,142.1833333,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,1
616,1986,injured,NT,-12.36666667,130.8333333,wobbegong,Orectolobidae,provoked,coastal,3
617,1986,injured,NSW,-33.81666667,151.3,wobbegong,Orectolobidae,unprovoked,coastal,5
618,1986,injured,NSW,-33.81666667,151.3,wobbegong,Orectolobidae,unprovoked,coastal,8
619,1986,uninjured,WA,-12.15,96.81666667,tiger shark,Galeocerdo cuvier ,unprovoked,island open ocean,10
620,1987,injured,QLD,-14.66666667,145.45,tiger shark,Galeocerdo cuvier ,unprovoked,island open ocean,1
621,1987,injured,QLD,-13.91666667,146.6166667,whitetip reef shark,Triaenodon obesus  ,provoked,island open ocean,1
622,1987,injured,NSW,-32.16666667,152.5166667,wobbegong,Orectolobidae,provoked,ocean/pelagic,2
623,1987,fatal,VIC,-38.46666667,144.8833333,white shark,Carcharodon carcharias ,unprovoked,coastal,2
624,1987,injured,WA,-33.88333333,121.8166667,white shark,Carcharodon carcharias ,unprovoked,coastal,3
625,1987,injured,WA,-32.16666667,115.65,wobbegong,Orectolobidae,unprovoked,estuary/harbour,4
626,1987,fatal,SA,-34.91666667,138.5833333,white shark,Carcharodon carcharias ,unprovoked,coastal,9
627,1987,injured,NT,-14.16666667,132.1833333,bull shark,Carcharhinus leucas,unprovoked,coastal,10
628,1987,uninjured,QLD,-14.66666667,145.45,hammerhead shark ,Sphyrnidae,provoked,island open ocean,12
629,1988,injured,NSW,-33.26666667,151.5666667,white shark,Carcharodon carcharias ,unprovoked,coastal,7
630,1988,injured,SA,-34.91666667,138.5833333,white shark,Carcharodon carcharias ,unprovoked,coastal,10
631,1988,uninjured,QLD,-23.9,152.3833333,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,10
632,1988,injured,VIC,-38.5,145.2666667,white shark,Carcharodon carcharias ,unprovoked,coastal,10
633,1988,fatal,QLD,-23.11666667,150.7333333,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,11
634,1988,fatal,QLD,-23.11666667,150.7333333,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,11
635,1989,injured,NSW,-33.86666667,151.2,wobbegong,Orectolobidae,provoked,coastal,1
636,1989,uninjured,VIC,-38.5,145.2666667,white shark,Carcharodon carcharias ,unprovoked,coastal,1
637,1989,injured,WA,-32,115.5166667,wobbegong,Orectolobidae,unprovoked,coastal,1
638,1989,injured,NSW,-28.88333333,153.55,white shark,Carcharodon carcharias ,unprovoked,coastal,1
639,1989,uninjured,WA,-17.96666667,122.2333333,tiger shark,Galeocerdo cuvier ,provoked,coastal,3
640,1989,injured,QLD,-10.11666667,142.1333333,whaler shark,Carcharhinidae,provoked,island open ocean,3
641,1989,fatal,SA,-35.63333333,138.4833333,white shark,Carcharodon carcharias ,unprovoked,coastal,3
642,1989,uninjured,NSW,-28.78333333,153.5833333,white shark,Carcharodon carcharias ,unprovoked,coastal,8
643,1989,uninjured,TAS,-41.43333333,148.2666667,white shark,Carcharodon carcharias ,unprovoked,estuary/harbour,10
644,1989,injured,NT,-14.16666667,132.1833333,bull shark,Carcharhinus leucas,unprovoked,coastal,10
645,1989,injured,VIC,-38.53333333,145.4666667,white shark,Carcharodon carcharias ,unprovoked,coastal,11
646,1989,injured,QLD,-28.03333333,153.4,bull shark,Carcharhinus leucas,unprovoked,river,11
647,1989,injured,WA,-16.38333333,122.9166667,wobbegong,Orectolobidae,unprovoked,island open ocean,12
648,1989,injured,NT,-12.28333333,136.8166667,tiger shark,Galeocerdo cuvier ,provoked,coastal,12
649,1990,uninjured,QLD,-28.15,153.5333333,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,4
650,1990,uninjured,NSW,-28.18333333,153.55,white shark,Carcharodon carcharias ,unprovoked,coastal,4
651,1990,fatal,QLD,-19.16666667,148.3833333,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,4
652,1990,injured,QLD,-16.21666667,145.8833333,hammerhead shark ,Sphyrnidae,provoked,ocean/pelagic,5
653,1990,injured,QLD,-16.21666667,145.8833333,hammerhead shark ,Sphyrnidae,provoked,island open ocean,5
654,1990,injured,QLD,-25.9,153.0833333,wobbegong,Orectolobidae,unprovoked,coastal,9
655,1990,injured,QLD,-28.03333333,153.4,bull shark,Carcharhinus leucas,unprovoked,river,10
656,1990,injured,SA,-35.51666667,138.7666667,white shark,Carcharodon carcharias ,unprovoked,coastal,10
657,1990,injured,QLD,-28,153.4166667,bull shark,Carcharhinus leucas,unprovoked,river,11
658,1991,injured,QLD,-23.83333333,151.25,unknown,unknown,unprovoked,coastal,1
659,1991,uninjured,VIC,-38.26666667,144.65,bronze whaler shark,Carcharhinus brachyurus,provoked,coastal,1
660,1991,uninjured,NSW,-33.51666667,151.3666667,dusky shark,Carcharhinus obscurus,unprovoked,coastal,1
661,1991,injured,QLD,-28.03333333,153.4,bull shark,Carcharhinus leucas,unprovoked,river,1
662,1991,injured,NSW,-34.56666667,150.8666667,grey nurse shark,Carcharius taurus,provoked,coastal,3
663,1991,fatal,SA,-35.28333333,138.4333333,white shark,Carcharodon carcharias ,unprovoked,coastal,9
664,1991,injured,WA,-32.51666667,115.7,white shark,Carcharodon carcharias ,unprovoked,coastal,11
665,1992,injured,QLD,-28.16666667,153.5333333,white shark,Carcharodon carcharias ,unprovoked,coastal,1
666,1992,uninjured,QLD,-24.86666667,152.35,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,2
667,1992,uninjured,QLD,-27.98333333,153.3333333,bull shark,Carcharhinus leucas,provoked,river,3
668,1992,injured,VIC,-38.28333333,144.6,white shark,Carcharodon carcharias ,unprovoked,coastal,3
669,1992,injured,SA,-34.25,135.1666667,white shark,Carcharodon carcharias ,unprovoked,coastal,8
670,1992,fatal,QLD,-27.08333333,153.4,white shark,Carcharodon carcharias ,unprovoked,coastal,10
671,1993,injured,QLD,-20.05,148.8833333,whitetip reef shark,Triaenodon obesus  ,provoked,island open ocean,1
672,1993,uninjured,TAS,-40.93333333,146.9833333,white shark,Carcharodon carcharias ,provoked,island open ocean,4
673,1993,injured,SA,-34.21666667,138.0166667,white shark,Carcharodon carcharias ,provoked,coastal,4
674,1993,fatal,TAS,-40.93333333,146.9833333,white shark,Carcharodon carcharias ,unprovoked,island open ocean,6
675,1993,fatal,NSW,-28.63333333,153.6166667,white shark,Carcharodon carcharias ,unprovoked,coastal,6
676,1993,fatal,WA,-17.96666667,122.2333333,tiger shark,Galeocerdo cuvier ,provoked,Coastal,11
677,1993,uninjured,QLD,-23.36666667,150.5,whaler shark,Carcharhinidae,unprovoked,coastal,12
678,1994,injured,QLD,-27.53333333,153.8333333,bull shark,Carcharhinus leucas,unprovoked,river,1
679,1994,injured,QLD,-27.98333333,153.4166667,bull shark,Carcharhinus leucas,unprovoked,river,1
680,1994,injured,SA,-37.31666667,139.8333333,wobbegong,Orectolobidae,provoked,coastal,2
681,1994,injured,QLD,-27.93333333,153.4166667,whaler shark,Carcharhinidae,unprovoked,coastal,4
682,1994,injured,VIC,-38.46666667,144.8833333,wobbegong,Orectolobidae,provoked,coastal,11
683,1995,uninjured,VIC,-38.51666667,145.0833333,sevengill shark,Notorynchus cepedianus,provoked,island open ocean,2
684,1995,injured,SA,-35.53333333,138.6666667,wobbegong,Orectolobidae,unprovoked,coastal,2
685,1995,injured,SA,-32.08333333,132.9666667,white shark,Carcharodon carcharias ,unprovoked,coastal,3
686,1995,uninjured,NSW,-33.85,151.2333333,bull shark,Carcharhinus leucas,unprovoked,estuary/harbour,3
687,1995,injured,NSW,-37.05,149.9,wobbegong,Orectolobidae,unprovoked,coastal,4
688,1995,uninjured,WA,-24.83333333,113.1333333,tiger shark,Galeocerdo cuvier ,unprovoked,island open ocean,5
689,1995,fatal,WA,-33.88333333,120.6833333,white shark,Carcharodon carcharias ,unprovoked,coastal,9
690,1995,injured,QLD,-25,152.8333333,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,10
691,1995,injured,NSW,-29.53333333,153.3333333,bull shark,Carcharhinus leucas,provoked,estuary/harbour,11
692,1995,injured,QLD,-23.16666667,150.95,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,11
693,1995,injured,NSW,-33.55,151.2666667,bull shark,Carcharhinus leucas,unprovoked,estuary/harbour,12
694,1996,injured,QLD,-27.85,153.4,bull shark,Carcharhinus leucas,unprovoked,estuary/harbour,1
695,1996,injured,WA,-35.05,117.6833333,wobbegong,Orectolobidae,provoked,island open ocean,1
696,1996,injured,NSW,-33.86666667,151.2,bull shark,Carcharhinus leucas,unprovoked,coastal,2
697,1996,injured,NSW,-31.51666667,159.05,galapagos shark,Carcharhinus galapagensis,provoked,coastal,2
698,1996,injured,QLD,-23.43333333,151.9,whaler shark,Carcharhinidae,unprovoked,island open ocean,3
699,1996,injured,NSW,-33.66666667,151.3,wobbegong,Orectolobidae,unprovoked,coastal,4
700,1996,injured,NSW,-33.66666667,151.3,wobbegong,Orectolobidae,unprovoked,river,4
701,1996,uninjured,VIC,-38.41666667,145.0666667,white shark,Carcharodon carcharias ,unprovoked,coastal,6
