,Incident.year,Victim.injury,State,Latitude,Longitude,Shark.common.name,Shark.scientific.name,Provoked/unprovoked,Site.category,Incident.month
236,1924,fatal,NSW,-33.8,151.0166667,bull shark,Carcharhinus leucas,unprovoked,river,1
237,1924,injured,WA,-33.31666667,115.6333333,wobbegong,Orectolobidae,unprovoked,coastal,2
238,1924,injured,NSW,-33.9,151.2666667,white shark,Carcharodon carcharias ,unprovoked,coastal,2
239,1924,fatal,NSW,-34.66666667,150.85,white shark,Carcharodon carcharias ,unprovoked,coastal,4
240,1924,injured,VIC,-37.83333333,144.9333333,white shark,Carcharodon carcharias ,unprovoked,coastal,10
241,1925,injured,NSW,-33.91666667,151.25,white shark,Carcharodon carcharias ,unprovoked,coastal,3
242,1925,fatal,NSW,-32.91666667,151.7833333,white shark,Carcharodon carcharias ,unprovoked,coastal,3
243,1925,fatal,WA,-31.98333333,115.75,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,11
244,1926,fatal,SA,-34.9,137,white shark,Carcharodon carcharias ,unprovoked,coastal,3
245,1926,injured,NSW,-29.45,153.1833333,bull shark,Carcharhinus leucas,unprovoked,river,10
246,1926,injured,QLD,-10.56666667,142.2166667,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,11
247,1926,fatal,QLD,-18.71666667,146.5666667,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,12
248,1927,injured,QLD,-10.56666667,142.2166667,tiger shark,Galeocerdo cuvier ,provoked,coastal,1
249,1927,fatal,NSW,-34.05,151.0833333,tiger shark,Galeocerdo cuvier ,unprovoked,river,1
250,1927,uninjured,QLD,-27.46666667,153.0333333,bull shark,Carcharhinus leucas,unprovoked,river,2
251,1927,injured,NSW,-32.93333333,151.75,white shark,Carcharodon carcharias ,unprovoked,coastal,3
252,1927,injured,QLD,-10.56666667,142.2166667,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,4
253,1927,injured,QLD,-10.56666667,142.2166667,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,4
254,1927,fatal,QLD,-17.21666667,145.9666667,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,5
255,1927,uninjured,WA,-17.98333333,122.2333333,tiger shark,Galeocerdo cuvier ,provoked,Coastal,7
256,1928,fatal,QLD,-9.516666667,141.5666667,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,1
257,1928,fatal,QLD,-14.15,144.5,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,2
258,1928,injured,QLD,-19.8,149.05,tiger shark,Galeocerdo cuvier ,provoked,coastal,3
259,1928,injured,QLD,-27.51666667,152.9833333,bull shark,Carcharhinus leucas,unprovoked,river,4
260,1928,injured,NSW,-33.88333333,151.2666667,white shark,Carcharodon carcharias ,unprovoked,coastal,4
